Team,Att,Rush Yds,YPC,TD,20+,40+,Lng,Rush 1st,Rush 1st%,Rush FUM,Date
49ers49ers,82,365,4.4,3,3,1,51T,22,26.8,2,09-20-22
BrownsBrowns,76,401,5.3,4,5,0,25T,23,30.3,0,09-20-22
EaglesEagles,73,379,5.2,6,3,0,26T,23,31.5,1,09-20-22
FalconsFalcons,65,291,4.5,2,0,0,16,17,26.2,2,09-20-22
GiantsGiants,65,341,5.2,1,2,1,68,19,29.2,1,09-20-22
BearsBears,64,279,4.4,2,2,0,28,15,23.4,1,09-20-22
BuccaneersBuccaneers,63,224,3.6,0,0,0,17,10,15.9,1,09-20-22
BengalsBengals,59,222,3.8,0,2,0,31,8,13.6,0,09-20-22
PackersPackers,56,314,5.6,2,2,0,36,21,37.5,1,09-20-22
JaguarsJaguars,55,219,4.0,2,3,0,37T,12,21.8,0,09-20-22
ChargersChargers,55,151,2.8,0,0,0,12,10,18.2,0,09-20-22
TitansTitans,53,173,3.3,1,0,0,18,7,13.2,2,09-20-22
PatriotsPatriots,53,202,3.8,1,0,0,16,13,24.5,0,09-20-22
LionsLions,52,372,7.2,3,3,3,58,14,26.9,0,09-20-22
BroncosBroncos,51,252,4.9,0,0,0,19,10,19.6,2,09-20-22
ColtsColts,51,231,4.5,1,2,0,21,14,27.4,2,09-20-22
CardinalsCardinals,50,246,4.9,3,2,0,30,17,34.0,1,09-20-22
BillsBills,49,222,4.5,1,1,0,33,13,26.5,2,09-20-22
CommandersCommanders,49,173,3.5,1,1,0,21,13,26.5,1,09-20-22
RavensRavens,46,218,4.7,1,1,1,79T,10,21.7,2,09-20-22
TexansTexans,46,157,3.4,0,0,0,12,11,23.9,0,09-20-22
CowboysCowboys,45,178,4.0,1,0,0,17,11,24.4,0,09-20-22
ChiefsChiefs,45,221,4.9,1,2,1,52,9,20.0,3,09-20-22
RamsRams,44,117,2.7,1,0,0,18,9,20.4,0,09-20-22
SteelersSteelers,44,166,3.8,0,0,0,18,9,20.4,0,09-20-22
PanthersPanthers,42,200,4.8,2,1,1,49,11,26.2,3,09-20-22
DolphinsDolphins,41,151,3.7,0,1,0,28,8,19.5,0,09-20-22
VikingsVikings,39,188,4.8,0,0,0,17,10,25.6,0,09-20-22
SaintsSaints,39,253,6.5,1,1,1,57,11,28.2,1,09-20-22
JetsJets,37,176,4.8,0,2,0,23,6,16.2,0,09-20-22
RaidersRaiders,34,144,4.2,0,0,0,18,5,14.7,0,09-20-22
SeahawksSeahawks,33,112,3.4,0,1,0,26,6,18.2,1,09-20-22
