Team,Rsh TD,Rec TD,Tot TD,2-PT
EaglesEagles,6,1,8,0
BrownsBrowns,5,4,9,0
LionsLions,3,6,9,0
CardinalsCardinals,3,3,6,3
49ers49ers,3,1,4,0
FalconsFalcons,2,2,5,1
PanthersPanthers,2,2,4,0
BearsBears,2,2,4,0
PackersPackers,2,2,4,0
JaguarsJaguars,2,3,5,0
SteelersSteelers,2,2,5,1
RavensRavens,1,6,8,0
BillsBills,1,7,9,0
CowboysCowboys,1,1,2,0
TitansTitans,1,2,3,0
ColtsColts,1,1,2,0
ChiefsChiefs,1,7,9,0
RamsRams,1,4,5,0
PatriotsPatriots,1,2,3,0
SaintsSaints,1,3,4,1
GiantsGiants,1,3,4,1
CommandersCommanders,1,7,8,2
BengalsBengals,0,3,3,2
BroncosBroncos,0,2,2,0
TexansTexans,0,2,2,0
RaidersRaiders,0,4,4,0
DolphinsDolphins,0,7,7,0
VikingsVikings,0,3,3,0
JetsJets,0,5,5,0
ChargersChargers,0,6,6,0
SeahawksSeahawks,0,2,3,0
BuccaneersBuccaneers,0,2,3,0
